OrderId,Property Id,Property Name,Parent Property Id,Parent Property Name,BBL - 10 digits,"NYC Borough, Block and Lot (BBL) self-reported",NYC Building Identification Number (BIN),Address 1 (self-reported),Address 2,Postal Code,Street Number,Street Name,Borough,DOF Gross Floor Area,Primary Property Type - Self Selected,List of All Property Use Types at Property,Largest Property Use Type,Largest Property Use Type - Gross Floor Area (ft²),2nd Largest Property Use Type,2nd Largest Property Use - Gross Floor Area (ft²),3rd Largest Property Use Type,3rd Largest Property Use Type - Gross Floor Area (ft²),Year Built,Number of Buildings - Self-reported,Occupancy,Metered Areas (Energy),Metered Areas  (Water),Site EUI (kBtu/ft²),Weather Normalized Site EUI (kBtu/ft²),Weather Normalized Site Electricity Intensity (kWh/ft²),Weather Normalized Site Natural Gas Intensity (therms/ft²),Weather Normalized Source EUI (kBtu/ft²),Fuel Oil #1 Use (kBtu),Fuel Oil #2 Use (kBtu),Fuel Oil #4 Use (kBtu),Fuel Oil #5 & 6 Use (kBtu),Diesel #2 Use (kBtu),District Steam Use (kBtu),Natural Gas Use (kBtu),Weather Normalized Site Natural Gas Use (therms),Electricity Use - Grid Purchase (kBtu),Weather Normalized Site Electricity (kWh),Total GHG Emissions (Metric Tons CO2e),Direct GHG Emissions (Metric Tons CO2e),Indirect GHG Emissions (Metric Tons CO2e),Property GFA - Self-Reported (ft²),Water Use (All Water Sources) (kgal),Water Intensity (All Water Sources) (gal/ft²),Source EUI (kBtu/ft²),Release Date,Water Required?,DOF Benchmarking Submission Status,Latitude,Longitude,Community Board,Council District,Census Tract,NTA
92,2658213,464 Riverside,3612678,Columbia University (morningside),1019900044,1019900044,1059827,464 Riverside Drive,Not Available,10027,464,RIVERSIDE DRIVE,Manhattan,50120,Residence Hall/Dormitory,Residence Hall/Dormitory,Residence Hall/Dormitory,50120,Not Available,Not Available,Not Available,Not Available,1924,1,100,Whole Building,Not Available,0.1,0.1,0,0,0.3,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0,0,5281.8,1548,0.5,0,0.5,50120,Not Available,Not Available,0.3,04/24/2017 06:52:20 PM,No,In Compliance,40.810451,-73.964631,9,7,205,Morningside Heights                                                        
93,2658209,460 Riverside,3612678,Columbia University (morningside),1019900050,1019900050,1059828,460 Riverside Drive,Not Available,10027,460,RIVERSIDE DRIVE,Manhattan,50120,Residence Hall/Dormitory,Residence Hall/Dormitory,Residence Hall/Dormitory,49668,Not Available,Not Available,Not Available,Not Available,1924,1,100,Whole Building,Not Available,7.5,7.5,0.2,0.1,9.3,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,336800,3368,34727.3,10178,21.1,17.9,3.2,49668,1976.2,39.79,9.3,04/24/2017 06:52:20 PM,,In Compliance,40.810223,-73.964797,9,7,205,Morningside Heights                                                        
100,2746925,Georgian,3614737,Columbia University Medical Center,1021380095,1021380095,1063382,617 W 168 Street,Not Available,10032,617,WEST 168 STREET,Manhattan,93600,Office,"Office, Other, Residence Hall/Dormitory",Office,56959,Residence Hall/Dormitory,40463,Other,218,1914,1,100,Whole Building,Whole Building,108.3,108.1,5.8,Not Available,168.3,Not Available,Not Available,Not Available,Not Available,Not Available,8623916.3,Not Available,Not Available,1954768.9,565153.5,754,0,754,97642,Not Available,Not Available,169.1,05/02/2017 01:28:02 PM,,In Compliance,40.841398,-73.94049,12,10,251,Washington Heights South                                                   
104,2741534,Tower 1,3614737,Columbia University Medical Center,1021390219,1021390219,1081868,"52 Haven Ave, 60 Haven Ave",Not Available,10032,78,HAVEN AVENUE,Manhattan,807327,Office,"Office, Other, Residence Hall/Dormitory",Office,138403,Residence Hall/Dormitory,124665,Other,5791,1973,1,100,Whole Building,Not Available,105.8,109.3,8.2,0.2,170.8,Not Available,1.44E+07,Not Available,Not Available,Not Available,Not Available,6498553,64985.5,7552185.4,2200919.5,2113.7,1412.9,700.8,268861,Not Available,Not Available,167.6,05/02/2017 01:28:02 PM,Yes,In Compliance,40.84401,-73.942671,12,10,255,Washington Heights South                                                   
108,2815220,106 Fulton,3614751,Pace University NYC Campus,1000780020,1-00078-0020,1001195,106 Fulton St,Not Available,10038,,,,,Residence Hall/Dormitory,Residence Hall/Dormitory,Residence Hall/Dormitory,66687,Not Available,Not Available,Not Available,Not Available,1952,1,100,Whole Building,Whole Building,53.8,58.9,7,0.4,111.7,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,1996358.1,23357.4,1590366.2,466109.6,253.6,106,147.6,66687,3048.6,45.71,106.3,05/01/2017 02:10:45 PM,,In Compliance,,,,,,
113,1418514,Kimmel,3615313,Memorial Sloan Kettering Cancer Center 1,1014430020,1-01443-0020,1044756,351 E 68 St,Not Available,10065,353,EAST 68 STREET,Manhattan,62200,Medical Office,"Medical Office, Office, Other",Medical Office,30840,Office,18341,Other,11093,2003,1,100,Whole Building,Not Available,147.9,150,28,Not Available,365.6,Not Available,Not Available,Not Available,Not Available,Not Available,3001888.9,Not Available,Not Available,5910266.3,1687597.8,747.8,0,747.8,60274,Not Available,Not Available,367.8,04/10/2017 03:13:55 PM,No,In Compliance,40.765726,-73.958994,8,5,118,Lenox Hill-Roosevelt Island                                                
118,2825704,Mercer Street Residence,3616399,New York University: Washington Square,1005320008,1005320008,1066869;1086637,240 Mercer Street,Not Available,10012,246,MERCER STREET,Manhattan,307312,Residence Hall/Dormitory,Residence Hall/Dormitory,Residence Hall/Dormitory,298336,Not Available,Not Available,Not Available,Not Available,1981,1,100,Whole Building,Not Available,8.1,8.2,2,0,22.6,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,422989.9,4405.8,1997060.6,585304.9,207.8,22.5,185.3,298336,11291.1,37.85,22.5,04/28/2017 07:15:52 PM,Yes,In Compliance,40.728092,-73.995663,2,1,5501,West Village                                                               
120,2706483,3 Washington Square Village,3616399,New York University: Washington Square,1005330001,1005330001,1077835,3 Washington Square Village,Not Available,10012,1,WASHINGTON SQ VLLGE,Manhattan,1485916,Multifamily Housing,Multifamily Housing,Multifamily Housing,322355,Not Available,Not Available,Not Available,Not Available,1960,1,100,Whole Building,Not Available,15.3,14.8,3.8,0,42.6,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,563900,5792.9,4355622.6,1224302.3,434.2,30,404.2,322355,Not Available,Not Available,44.3,04/28/2017 07:15:52 PM,No,In Compliance,40.729113,-73.997507,2,1,5501,West Village                                                               
146,2825644,Hayden Hall,3616399,New York University: Washington Square,1005520024,1005520024,1008875,33 Washington Square West,Not Available,10011,35,WASHINGTON SQUARE W,Manhattan,179800,Residence Hall/Dormitory,Residence Hall/Dormitory,Residence Hall/Dormitory,182714,Not Available,Not Available,Not Available,Not Available,1929,1,100,Whole Building,Not Available,19.3,19.3,4.2,0,50.5,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,887700,8877,2639386.3,773559.8,292.1,47.2,244.9,182714,Not Available,Not Available,50.5,04/28/2017 07:15:52 PM,No,In Compliance,40.731408,-73.999307,2,1,65,West Village                                                               
148,2706477,2 Washington Square Village,3616399,New York University: Washington Square,1005530001,1005530001,1077834,2 Washington Square Village,Not Available,10012,,,,,Multifamily Housing,Multifamily Housing,Multifamily Housing,305587,Not Available,Not Available,Not Available,Not Available,1960,1,100,Whole Building,Not Available,184.3,183.7,4.8,1.7,227.4,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,5.11E+07,510801,5240593,1481027.6,3199.4,2713.1,486.3,305587,Not Available,Not Available,229.4,04/28/2017 07:15:52 PM,,In Compliance,,,,,,
151,2794284,NYEEI South Bldg,3617119,New York Eye & Ear Infirmary,1004550001,1-00455-0001,1006510,218 2nd Ave,Not Available,10003,222,2 AVENUE,Manhattan,56756,Medical Office,Medical Office,Medical Office,60828,Not Available,Not Available,Not Available,Not Available,1893,1,100,Whole Building,Whole Building,127.6,133.4,Not Available,Not Available,160.5,Not Available,Not Available,Not Available,Not Available,Not Available,7759914.4,Not Available,Not Available,Not Available,Not Available,515.2,0,515.2,60828,6595.4,108.43,153.5,08/01/2017 08:12:58 PM,,In Compliance,40.732,-73.985185,3,2,40,East Village                                                               
158,2785179,"LIU, Stores, Office",3618185,1 hoyt st,3001570009,3001570009,3332518,450 Fulton St,Not Available,11201,1,HOYT STREET,Brooklyn,70734,Residence Hall/Dormitory,"Office, Residence Hall/Dormitory, Retail Store",Residence Hall/Dormitory,40000,Retail Store,24000,Office,8000,1925,1,100,Whole Building,Not Available,164.9,175.5,15.9,0,292.9,Not Available,Not Available,7811145.8,Not Available,Not Available,Not Available,6037,63.3,4053230.9,1146228,964.6,588.4,376.1,72000,1460.7,20.29,286.4,05/01/2017 04:43:42 PM,,In Compliance,40.690419,-73.98519,2,33,37,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill                           
160,2809940,601 West 112th,3618215,601 W 112 and 600 W 113,1018950016,1018950016,1057336,410 West 118th Street,Not Available,10027,2881,BROADWAY,Manhattan,59131,Multifamily Housing,Multifamily Housing,Multifamily Housing,54100,Not Available,Not Available,Not Available,Not Available,1939,1,100,Whole Building,Not Available,2.6,2.6,0.6,0,7.1,Not Available,0,Not Available,Not Available,Not Available,Not Available,30200,302,111531.5,32688,12,1.6,10.4,54100,7874.7,145.56,7.1,04/24/2017 06:52:20 PM,Yes,In Compliance,40.805505,-73.965739,9,7,199,Morningside Heights                                                        
167,2977495,414 West 119th Street,3618219,430 W 119 ET AL,1019620026,1019620026,1059507,410 West 118th Street,B-230,10027,414,WEST 119 STREET,Manhattan,54100,Multifamily Housing,Multifamily Housing,Multifamily Housing,53676,Not Available,Not Available,Not Available,Not Available,1910,1,100,Whole Building,Not Available,3.4,3.4,1,Not Available,10.8,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,184186.6,53982,17.1,0,17.1,53676,1757.2,32.74,10.8,04/24/2017 06:52:20 PM,Yes,In Compliance,40.80822,-73.958379,9,7,20701,Morningside Heights                                                        
169,2809865,414 West 120th Street,3618219,430 W 119 ET AL,1019620061,1019620061,1059513,410 West 118th Street,Not Available,10027,414,WEST 120 STREET,Manhattan,64842,Multifamily Housing,Multifamily Housing,Multifamily Housing,62334,Not Available,Not Available,Not Available,Not Available,1980,1,100,Whole Building,Not Available,78.9,78.9,1.2,0.7,91.1,Not Available,Not Available,0,Not Available,Not Available,Not Available,4668999.9,46690,248796.2,72248.9,271.1,248,23.1,62334,3275.7,52.55,91.2,04/24/2017 06:52:20 PM,Yes,In Compliance,40.808832,-73.958021,9,7,20701,Morningside Heights                                                        
189,4288948,Amalgamated Warbasse Houses-Block 7253,4288948,Amalgamated Warbasse Houses-Block 7253,3072530001,3-07253-0001,3320736; 3320734; 3320735,2800 West Fifth Street,Not Available,11224,2830,OCEAN PARKWAY,Brooklyn,1800000,Multifamily Housing,"Multifamily Housing, Parking",Multifamily Housing,1989288,Parking,0,Not Available,Not Available,1965,3,100,Whole Building,Whole Building,181.6,179.9,Not Available,1.8,188.9,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,3.61E+08,3579349.9,Not Available,Not Available,19186.4,19186.4,0,1989288,82766,41.61,190.7,04/25/2017 10:48:04 AM,No,In Compliance,40.581135,-73.967434,13,47,35601,West Brighton                                                              
195,5834267,211 West 149th Street,4397919,DUNBAR OWNER LLC,1020350001,1020350001,1084145  ,210 West 150th Street,Not Available,10039,2802,FREDRICK DOUGLASS BL,Manhattan,436115,Multifamily Housing,Multifamily Housing,Multifamily Housing,74068,Not Available,Not Available,Not Available,Not Available,1928,1,100,Whole Building,Not Available,94.4,100.1,3.9,0.9,132.7,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,5995197.2,64321.1,996260.5,287207.5,410.9,318.4,92.5,74068,Not Available,Not Available,127.2,04/25/2017 10:55:55 AM,Yes,In Compliance,40.825416,-73.940013,10,9,234,Central Harlem North-Polo Grounds                                          
198,5834270,210 West 150th Street,4397919,DUNBAR OWNER LLC,1020350001,1020350001,1084147  ,210 West 150th Street,Not Available,10039,2802,FREDRICK DOUGLASS BL,Manhattan,436115,Multifamily Housing,Multifamily Housing,Multifamily Housing,74549,Not Available,Not Available,Not Available,Not Available,1928,1,100,Whole Building,Not Available,105.2,111.8,4,1,146.1,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,6785387.7,73118.9,1056809.6,300343.9,458.5,360.4,98.1,74549,Not Available,Not Available,140.1,03/31/2017 12:44:48 PM,Yes,In Compliance,40.825416,-73.940013,10,9,234,Central Harlem North-Polo Grounds                                          
199,5834277,2802 Fred Douglas Boulevard,4397919,DUNBAR OWNER LLC,1020350001,1020350001,1084148  ,210 West 150th Street,Not Available,10039,2802,FREDRICK DOUGLASS BL,Manhattan,436115,Multifamily Housing,"Multifamily Housing, Other",Multifamily Housing,96602,Other,5084,Not Available,Not Available,1928,1,100,Whole Building,Not Available,123.7,123.1,5.7,1,169.9,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,10543342,105433.4,2033804.2,579014.4,748.7,560,188.7,101686,Not Available,Not Available,171.7,03/31/2017 12:44:48 PM,Yes,In Compliance,40.825416,-73.940013,10,9,234,Central Harlem North-Polo Grounds                                          
200,5834279,230 West 150th Street,4397919,DUNBAR OWNER LLC,1020350001,1020350001,1084151  ,210 West 150th Street,Not Available,10039,2802,FREDRICK DOUGLASS BL,Manhattan,436115,Multifamily Housing,Multifamily Housing,Multifamily Housing,61782,Not Available,Not Available,Not Available,Not Available,1928,1,100,Whole Building,Not Available,150.6,160.6,5.1,1.4,205.4,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,8186833.3,88385.5,1119687.4,317998.9,538.7,434.8,103.9,61782,Not Available,Not Available,196,03/31/2017 12:44:48 PM,Yes,In Compliance,40.825416,-73.940013,10,9,234,Central Harlem North-Polo Grounds                                          
209,4442623,Third Hsg Bldg #5,4440047,Third Housing Company Inc.,4067900001,4-06790-0001,4455379,65-96 / 65-90 160th Street,Not Available,11365,65-30,160 STREET,Queens,749142,Multifamily Housing,Multifamily Housing,Multifamily Housing,70000,Not Available,Not Available,Not Available,Not Available,1953,1,100,Whole Building,Whole Building,64.5,Not Available,Not Available,Not Available,Not Available,Not Available,1617360,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,273.8,273.8,0,70000,4812.2,68.75,66.8,05/01/2017 09:17:10 PM,Yes,In Compliance,,,,,,
217,4442227,First Housing Company Inc.,4442227,First Housing Company Inc.,4067890015,4-06789-0015,4451548,161-04 Harry Van Arsdale Jr. Ave.,Not Available,11365,161-08,JEWEL AVENUE,Queens,363265,Multifamily Housing,"Multifamily Housing, Parking",Multifamily Housing,350000,Parking,0,Not Available,Not Available,1953,7,100,Whole Building,Whole Building,27.4,26.1,7.6,Not Available,81.8,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,9580691,2672290.6,889.1,0,889.1,350000,21982.2,62.81,86,05/01/2017 09:17:10 PM,Yes,In Compliance,,,,,,
225,4442823,Second Housing Company Inc,4442823,Second Housing Company Inc,4067920600,4-06792-0600,4455438,161-29 Harry Van Arsdale Jr. Ave,Not Available,11365,161-25,JEWEL AVENUE,Queens,789880,Multifamily Housing,"Multifamily Housing, Parking",Multifamily Housing,665000,Parking,0,Not Available,Not Available,1955,12,100,Whole Building,Whole Building,27.9,26.6,7.2,0,79.3,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,1295562.5,13117.8,17238823.1,4794817.7,1668.6,68.8,1599.8,665000,33742.7,50.74,83.4,05/01/2017 09:17:10 PM,Yes,In Compliance,,,,,,
226,4442382,Second Hsg Bldg #1,4442823,Second Housing Company Inc,4067920600,4-06792-0600,4455438,161-25 / 161-29 HVA Ave.,Not Available,11365,161-25,JEWEL AVENUE,Queens,789880,Multifamily Housing,Multifamily Housing,Multifamily Housing,70000,Not Available,Not Available,Not Available,Not Available,1955,1,100,Whole Building,Whole Building,59.4,64.2,Not Available,0.6,67.4,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,4161294.7,44916.2,Not Available,Not Available,221,221,0,70000,4071.6,58.17,62.4,05/01/2017 09:17:10 PM,Yes,In Compliance,,,,,,
385,5835940,Carol Gardens,5835940,Carol Gardens,,Not Available,Not Available,820-880 Thieriot Ave,Not Available,10473,,,,,Multifamily Housing,Multifamily Housing,Multifamily Housing,352868,Not Available,Not Available,Not Available,Not Available,1968,2,95,Whole Building,Whole Building,132.9,131.9,7.4,1.1,191.6,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,3.77E+07,375953.4,9220445,2625921.2,2856.7,2001.1,855.7,352868,Not Available,Not Available,194.2,05/01/2017 10:28:45 AM,Yes,In Compliance,,,,,,
232,4442424,Second Hsg Bldg #7,4442823,Second Housing Company Inc,4067920600,4-06792-0600,4455438,67-12 / 67-06 164th Street,Not Available,11365,161-25,JEWEL AVENUE,Queens,789880,Multifamily Housing,Multifamily Housing,Multifamily Housing,70000,Not Available,Not Available,Not Available,Not Available,1955,1,100,Whole Building,Whole Building,37.2,Not Available,Not Available,Not Available,Not Available,Not Available,1141536,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,162.3,162.3,0,70000,4051.4,57.88,38.4,05/01/2017 09:17:10 PM,Yes,In Compliance,,,,,,
234,4442434,Second Hsg Bldg #9,4442823,Second Housing Company Inc,4067920600,4-06792-0600,4455438,65-85 / 65-91 162nd Street,Not Available,11365,161-25,JEWEL AVENUE,Queens,789880,Multifamily Housing,Multifamily Housing,Multifamily Housing,70000,Not Available,Not Available,Not Available,Not Available,1955,1,100,Whole Building,Whole Building,39.6,Not Available,Not Available,Not Available,Not Available,Not Available,2036190,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,190.1,190.1,0,70000,3700.6,52.87,40.4,05/01/2017 09:17:10 PM,No,In Compliance,,,,,,
239,4442724,Fourth Hsg Bldg #1,4442829,Fourth Housing Company Inc.,4067910001,4-06791-0001,4451568,65-47 / 65-53 160th Street ,Not Available,11365,Nov-61,160 STREET,Queens,394644,Multifamily Housing,Multifamily Housing,Multifamily Housing,70000,Not Available,Not Available,Not Available,Not Available,1954,1,100,Whole Building,Whole Building,56.8,Not Available,Not Available,Not Available,Not Available,Not Available,2236621.2,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,258.3,258.3,0,70000,3947.5,56.39,58.3,05/01/2017 09:17:10 PM,No,In Compliance,,,,,,
240,4442746,Fourth Hsg Bldg #2,4442829,Fourth Housing Company Inc.,4067910001,4-06791-0001,4451568,65-77 / 65-83 160th Street,Not Available,11365,Nov-61,160 STREET,Queens,394644,Multifamily Housing,Multifamily Housing,Multifamily Housing,70000,Not Available,Not Available,Not Available,Not Available,1954,1,100,Whole Building,Whole Building,67.8,73.8,Not Available,0.7,77.3,Not Available,306498,Not Available,Not Available,Not Available,Not Available,4441754.9,48063.3,Not Available,Not Available,258.7,258.7,0,70000,4802.5,68.61,71,05/01/2017 09:17:10 PM,No,In Compliance,,,,,,
241,4442768,Fourth Hsg Bldg #3,4442829,Fourth Housing Company Inc.,4067910001,4-06791-0001,4451568,65-94 / 65-88 162nd Street ,Not Available,11365,Nov-61,160 STREET,Queens,394644,Multifamily Housing,Multifamily Housing,Multifamily Housing,70000,Not Available,Not Available,Not Available,Not Available,1954,1,100,Whole Building,Whole Building,47.7,Not Available,Not Available,Not Available,Not Available,Not Available,1710924,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,213.5,213.5,0,70000,5260.3,75.15,49.1,05/01/2017 09:17:10 PM,No,In Compliance,,,,,,
244,4442836,Fifth Housing Company Inc,4442836,Fifth Housing Company Inc,4067910025,4-06791-0025,4440184,65-24 162nd Street,Not Available,11365,61-15,160 STREET,Queens,236984,Multifamily Housing,"Multifamily Housing, Parking",Multifamily Housing,291876,Parking,0,Not Available,Not Available,1966,2,100,Whole Building,Whole Building,42.4,44.9,12.7,0,137.6,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,468637.5,4727.6,11898121.3,3702505,1129,24.9,1104.1,291876,Not Available,Not Available,129.7,05/01/2017 09:17:10 PM,,In Compliance,,,,,,
